reportID,report,lat,long
1027,"35 deg 21' 59"" N  111 deg 30' 34"" W",35.36638889,-111.50944444
10879,Longitude-87.97622 Lattitude-38.94564,87.97622000,-38.94564000
1401,"Latitude - Longitude : 56° 54' 00"" N - 116° 06' 00"" W",56.90000000,-116.10000000
15211,"My GPS unit marks our site at 40 deg 38' 57"" North by 110 deg 57' 51"" West but Google Earth put us at 40 deg 38'57.69"" North by 110 deg 57' 49.25"" West.",40.64916667,-110.96416667
22598,"Latitude 35°41'47.44""and Longitude N117°57'54.36""W, near Owens Peak.",35.69555556,-117.96510000
2268,46.873 deg-N and 121.300 deg-W.,46.87300000,-121.30000000
24732,N 36 degrees 20.564  W 112 degrees 05.643,36.34271667,-112.09405000
26572,GPS N45 57.889 W 121 45.536).,45.96481667,-121.75893333
26823,GPS +28-27'-5.16''   81-57'22.94'',28.45143333,-81.95637222
3022,N40  1.680  W110  55.891.,40.02800000,-110.93151667
35789,"N  32 degrees, 5 minutes, 53 seconds     W  88 degrees, 41 minutes, 44 seconds.",40.91666667,-89.41666667
36514,"The GPS location is as follows: 42.514765,-90.842826",42.51476500,-90.84282600
47536,"34.277126, -110.072090",34.27712600,-110.07209000
48359,Longitude 90 55' 49.13Latitude 46 42' 37.53,46.71042500,-90.93031389
5251,"The coordinates of our campsite were 35 31.185 N, 118 24.748 W;",35.51975000,-118.41246667
59102,38 5806N 79 4540W,38.96833333,-79.76111111
59396,"39.089496, -82.834201",39.08949600,-82.83420100
59757,42.158230  -96.344197,42.15823000,-96.34419700
62340,"35.309576, -93.375676",35.30957600,-93.37567600
65464,"45.747963, -122.238859. See environment section below for more details on the location.",45.74796300,-122.23885900
65566,"39.808254, -121.045600You can copy and paste those coordinates in Google Maps or Google Earth and it will show you the river crossing point.]",39.80825400,-121.04560000
65867,"are 43.391164, -82.539186",43.39116400,-82.53918600
65894,"oordinates:  Latitude - 45.5340, Longitude - 77.858040",45.53400000,-77.85804000
66158,": 37.463917, -92.522421 ]",37.46391700,-92.52242100
67199,"opy and paste coordinates into Google Maps): 32.669084, -98.032844 ]",32.66908400,-98.03284400
67232,"[Copy and paste these coordinates into Google Maps: 37.332257,-76.709259",37.33225700,-76.70925900
