reportID,other_witnesses
13038,"My two friends were snowmachining behind me but did not see it. If it had been light outside they might have seen it, but it was pitch black outside. My only light was from my snowmachine."
8792,"4. Me, w-man, warren and sean. We were at my house thinking of what we could do because we were so bored."
1255,Scouting for caribou with high quality binoculars
11616,"One other witness, and he was fishing prior to the incident. As this time of year the salmon fill the lakes and creeks to the brim."
637,"I was the only witness, there was one other in my party but he didn't see anything, he was at camp, I was about 15 ft from camp smoking a cigarett"
26604,No other witnesses
1257,They had just picked the buddy up from work.
1995,Just myself.
1256,I WAS JUST WALKING DOWN THIS DIRT ROAD RABBIT HUNTING.
1259,The man was hunting small game and riding around to kill time when he saw it.
597,2 witnesses  tracking wild game.
7963,No other witnesses
8797,There was just I and my cousin. We were trying to figure out what might have been looking at us.
25442,"No, Bill slept through it."
23666,just me.
9317,"Myself and daughter. We were listening to music, talking and just enjoying the sights and view while driving."
75309,My wife
71896,no
26513,"1, walking down the road"
27067,There were 7 witnesses in the car driving to see a relative.
21714,yes standing 10 ft in front of me.
45464,
42939,no
26886,
49238,Yes lots of them
24451,2 we were just talking and riding
43402,Driving on the same highway and another guy seen him on the highway ten miles away.
1907,
42692,no other witnesses
22969,2 other adults were awakened and took part in the discussion of what could have caused that type of sound.
75577,2
67423,2 just riding listening to the radio
273,Myself and my wife
47975,One (1)
44386,The others were at camp.
27568,"1 hunting, walking"
42329,1
4743,"Two, only one saw the creature.  The other heard it running through woods, but was driving motorcycle and not looking back when it appeared."
8635,my parents
35293,"Yes. My daughter, outside with me picking up pecans. She was only 3."
45296,Unfortunately no
40912,no witness
34224,My son saw the footprints
22899,no
14082,I was driving and alone.
39620,
37094,Yes..in the driveway a different night.
25619,No
15102,1. Hunting.  Second time had stepped onto front porch for air.
46746,just one. my wife
44479,I was alone
38022,"1, walking with me"
43689,First time with the tracks my friend was with me.
10498,"My cousin was present but did not see the creature.  However, she witnessed my terror."
35475,Just me
28326,"A friend of mine was driving, but he will not admit to seeing anything that day."
18376,No...just my husband but he could not see it.
7427,Four witnesses.  Preparing to camp.
18033,"Two,myself and my wife,but she said she didn't see or hear much after she got in truck.We had been sitting on the tailgate of my truck talking with the radio on softly."
15597,"Only me, I wish there had been a witness"
451,2 ONE WAS MAKING KOOL-ADE THE OTHER WAS WATCHING TV
24646,One other friend at the sight but he did not witness the sighting. but he saw my looks and my questions to him and my facial dismay.
17455,"2, walking to swamp to go duck hunting"
25559,There were 2 other Marriott employees that saw the bark missing and large foot indentions.
416,"1 in first,2 in second"
40542,"My mother in law and wife exited with me the second time I went out, but none of us saw anything."
40417,None.
39383,
25111,None friend was asleep.
435,there was 2 i was drivng husband looking for deer
5954,Only Myself
832,"In all instances, just talking."
15473,Two others besides myself. Kevin and his girlfriend at the time Donna. We had been at TSU studying and wanted to take go out for a while.
179,"1981: Myself, girlfriend, and her father1982:Myself and my girlfriend"
8171,Just me.
22539,My wife she was in the passenger seat and saw this creature also.
10501,My brother-in-law
8679,"There was no other witness, other than my dog."
45498,No
17480,"There where five other witnesses, and we where simply camping"
1419,3 people present talking and walking toward the trail.
44849,Not at that moment. Saw it 4 years earlier crossing Bone Camp with my mother.
